This is like https://livingpresence.com/worldwide-centers-2/ but shows the opening year of each center.,
Sacramento,1970
San Francisco,1970
Apollo,1974
New York,1976
Atlanta,1976
Palo Alto,1976
Washington D.C.,1976
London,1977
Toronto,1978
Paris,1978
Copenhagen,1979
Amsterdam,1979
Mexico City,1979
Rome,1981
Tel Aviv,1982
Athens,1983
Florence,1983
Milan,1983
Sao Paulo,1984
Naples,1984
Buenos Aires,1985
Brussels,1986
Sicily,1987
Campinas,1989
Tokyo,1990
Ahmedabad,1990
Zurich,1991
Moscow,1991
Santiago,1992
St Petersburg,1993
Beijing,1995
Prague,1995
Ljubljana,1995
Kiev,1995
Tijuana,1996
Bucharest,1996
Novosibirsk,1996
Budapest,1996
Bogota,1996
Miami,1997
Rajkot,1997
Petrosavodsk,1997
Porto Alegre,2000
Mumbai,2000
San Salvador,2001
Shanghai,2002
Istanbul,2003
Barnaul,2003
Los Angeles,2004
Beirut,2005
Spain,2011
Germany Center,2014
Ankara,2014
Surat,2015
Modena,2015
Japan Center,2016
Yerevan,2018
On-line Center,2019
